,emotion,generated_sentence
0,E69," 그래서 내일도 내가 좋아하는 운동복을 입을게요.""
이런 말을 들은 김씨는 고개를 돌려 고개를 돌려 나를 올려보았다.
나는 고개를 끄적끄"
1,E69," 그리고 그게 바로 그 사람이 하는 일이지.""
""아니, 내가 그 사람이 하는 일이니까 내가 어떻게 해 줄 거니! 그건 네 몫이거든! 내가 알아서 할테니"
2,E69, 그런데 내가 왜 이 생에 이 미련은 남지 않게 되었는지 그 이유는 넌 알지 못해? 난 너에게 미련이란 없어져. 내가 너
3,E69," 난 그걸 알지도 못했어!"" 라고 말한다.
그러자 이젤의 말에 이젤도 웃으며 웃으며 대답한다.
""이제야 겨우"
4,E66, 그래서 나도 이번에 이~ 우리 저~ 저도 그~ 우리 이거 뭐 저도 이~ 그~ 그거 저~ 이~ 저희도 뭐~ 이거 저도 저
5,E66," 그래서 내가 당뇨를 치료하려고 하면 내가 더 잘 알 것 같다고 했거든요.
그래, 그래서 당뇨병도 좀 잘 관리를 하기로 결심했어요.
그리고 나중에도 내가 잘 관리를 하면"
6,E66," 그건 그렇다 치고. 그런데 내가 이럴 수 있는 게 이거 너무 힘들게 해서 내가 너무 힘들어하고 있으니까.
아무 것도 없는 내가 왜 이러고"
7,E66," 그리고 내일은 꼭 내일이 될 거야.
그래도 내년 봄, 그 때 다시 만나고 싶어.
내일은 내가 꼭 만나보고 싶어서 그러고 있는 거야.
내년에"
8,E66," 난 이거 잘할거 같아?""
아이는 대답하지 않고 아무 말 안 했습니다.
""그래? 내가 뭐가 그리 좋은 거 같니?
그런 건 나도 모르겠"
9,E66, 그나 저 나나 그나 모두 다 내 잘못이잖. 나 혼자만의 문제가 아니지? 나 같은 사람은 내가 다 책임질 줄 모르는 거 아녜
10,E66," 그게 무슨 소리야?""
그녀는 눈을 부라리고 소리치려 했다.
그녀는 그 말을 듣자마자 눈을 번쩍 뜬 채 고개를 끄덕거려 했다.
""이"
11,E66, 그리고 그 후로는 항상 내 곁에 있는 거라고 생각해 왔지. 하지만 내가 그 아이를 어떻게 생각하든지 간에 그 아이의 엄마가 내게 말했던
12,E63," 이걸로 뭔지 알겠니?” 라고 물었다.
이어서 그는 “오늘 빵은 제가 직접 만들어서 드렸습니다. 저희 어머니가 저를 위해"
13,E63," 괜히 걱정 마.""
나는 이장이 뭔지도 몰랐다.
""어떻게, 저렇게 잘난 체 하는 건 아니겠니? 이거"
