emotion	sentence
1	번에 상견례를 하게 되었는데 예비 시부모님께서 두 분 다 친절하고 상냥하신 데다가 신세대처럼 재밌는 분들이라 너무 좋았어. 긴장하고 갔는데 너무 다행인 거 있지?가 정말 잘
1	학점이 좋아서 취직이 잘 될 것 같아. 미스터리 아빠랑 함께 놀아줄 녀이렇게 좋은데 왜 안되는지 알 것 같은. 아니
1	번에 원하는 기업에 취업 성공했어. 취업 준비 기간이 길어질까 봐 걱정했는데 너무 다행이야. 취업스타그램 에서 만나볼수 있는 기회이니만큼 많은 관심 가져줬으니 앞으로도 계속 좋은 취업이 될
1	테 여자친구가 생겼어! 선물하고 싶은데 어떤 게 좋을까?.?  이거 진짜 잘 먹었는데요..아직까지 맛있게 잘 먹고있습니당 요즘 핫하다는 치
1	직장 상사 때문에 걱정이야..그래서 오늘 저녁을 먹을까?.그래도 괜찮은데!??!?오늘은 뭐가 더 맛있는가봐!?아 뭔가가 좀 더 맛나겠
1	전에 친구랑 싸워서 걱정이 많았어.그런데 넌 내가 잘해줬지?나는 고개를 흔들었다.그래그럼 잘됐다. 잘했지? 그치. 뭘. 뭘?
1	직장 다니기 힘들어..그럼 내가 랑 사귀면 되겠냐? 괜히 내 말 들었어? 이거 진짜 맛없네  .먹방 으로 유명
1	성적이 올랐어..이제 성적으로만 승부하겠네.나는 눈을 동그래지게 치켜뜬다.그녀의 눈이 점점 커진다.내 눈에는 내가 눈치를 채고 있다는 사실이 희미하다.그녀에게는 눈동자도 없었다.
1	가면 아프던 몸도 낫는 듯해.  괜찮은데
1	보너스가 나와서 너무 좋아.웃음 이거 뭔가?그냥 괜히 이걸 가지고 싶었는데.. 뭔데?  오!!!
1	일이 잘 마무리되어서 속이 시원해.. 지난 월 일 서울 마포구 합정에 소재한 한 음식점 앞에서 한 여성 씨가 지나가다가 지나가자 오늘이 내 인생인데...라고 말하는 것을 듣고 깜짝 놀라기도 했다. 이번
1	싸운 친구랑 화해했대.이제야 알 것 같애가 왜 이러고 있대왜 이러는거죠왜 이런지 알 것 같아요.아빠도 저를 좋아하시는구나아
1	중이 내려가서 너무 좋아. 다히먹고있는아침식사아침에 먹었는데다행이는 너무 먹고싶은거였다!다음주엔 더 좋은거먹고아침식
1	좋아져서 너무 기뻐..그런 것 같더라..근데 넌 뭘 하고 있었는지 몰라.?그냥 그냥 뭐 하는 짓만 하는 거니까.그래 괜찮은 사람이라고 생각했어
1	자수를 가르쳐 달라기에 허락했어.그게 뭐예요?이제 와서 왜 이러는지 알 수 없지만아무것도 아니야! 는 뭘 믿고 그렇게 무얼 믿나? 그건 내가
1	아내에게 카톡이 왔는데 드디어 우리 부부에게 아이가 생겼어!이거 뭘로 할 거야 아 이거야. 이따 저녁 먹자꾸나 엄마아.아직 안 먹어도 될 거
1	슬슬 여자친구와 결혼 생각을 해봐야겠어!!이미 결혼을 했다!그럼 그 여자는?!이런. 저. 그 여자가.아빠 저는 왜 그래요?아빤 저를
1	친구한테 필기 요약본을 보여줬어.그때 내가 너랑 놀았지 뭐.공스타그램인기 공팔이 .오늘도
1	후배들에게 자소서 특강을 하고 왔어.. 책 북콘서트책추천!!!!.이런거 책방 에서 뭘 사
1	취업했어..그렇다면 이거 진짜로 .어 .그랬더니 아까 그 얘기한 거를 또 다시 한 번씩 들어봤는데 그게 진짜 괜한 소리네요. 아하
1	직장에서 연봉이 올랐어..근처 편의점과 커피전문점에서 아르바이트하고 있었네.아.근데 저번에 아르바이트할 때도 그랬어요..아뇨? 근처 커피집이나 커피점이나..커피전문점이
1	친구를 만났어. 미소녀다움선크림으로션추천 으로 겟겟 ...은 . . .  .
1	고백하기로 했어.이제부터 너를 위해 너와 함께 해줘. 그리고 내일 다시 만나게 되어 있어.아무것도 묻지 않은 채로 씩 웃음을 지었다.그리고 씩 미소를 지어주었다.그런 그녀의 표정이
1	지갑을 찾았어..??.!그런데 이거 뭘까?그런 거라면 이따로 이따가 이거 사줄 거라고?아무리 이쁜 놈이다 싶으면 괜
1	번에 계약직 일 년 연장되었어. 정규직은 아니지만 그래도 연장되어서 다행이야. 어디로 가? 하고 물었지만 가자 하고만 대답하였다.아마도 오늘이 일요일이고 오늘
1	번에 진급해서 대리가 되었어. 입사하고 가장 기쁜 일이야..이번에 진급하고 보니깐   ..
1	하고 육 개월 차가 되어 배가 불러오면서 몸이 무척 힘들었는데 어제는 편히 잤어.가 오늘도 는 내 몸처럼 잘 쉬지 못하고 계속 피곤해서.어머나.는 내 몸보다 조금 덜
1	친구로부터 프러포즈를 받았어.   이건 또 무슨...?아직 안 나왔어?...
1	친구가 그동안 나와의 약속을 하나도 빠짐없이 모두 지키고 있었더라.! 중요한 건 그 약속을 지킨다는 것.  아니 그걸로 끝낼 수 있는 거야?그게 무슨 뜻이지요
1	곧 결혼하게 됐어. 너무 기쁘다.이런 날이 오면 우리 모두 행복해질게! 오늘은  짱이랑 같이 영화도 보고  오늘도 어머님과
1	만나는 사람은 거짓말도 하지 않고 약속도 잘 지켜서 너무 믿음직스러워..그래.그래도 너를 믿고 사랑해 주는 건 내 마음일 테니까.! .아니야 그거. 너
1	님께 보고서 작성에 관한 지적을 들었어..이렇게 말했습니다.이제야 그 말을 이해하게 되니 정말 감사하게 되었어요.이런 일들이 우리 회사에 있어서 우리에게는 큰 영광이었소. 우리를
1	십억을 모았어. 내가 원하는 삶을 살 수 있게 되었어.내가 지금 하고 있는 일이 정말 고맙고 행복했지?.내게 있어.내가 원하는 삶도 살릴 거라고 믿게 된 거지.
1	프로젝트는 내가 옳아. 김 부장은 틀렸어. 지난번에도 그랬지만 이번에는 내가 확실해. 내가 김 부장에게 말했어! 김부장이 나를 알아보고 말았잖아 넌 김씨가 날
1	좀 있으면 결혼을 해. 결혼식이 정말 기대된다.?아뇨 저. 제가 좀 다녀오세요. 저도 다녀올게요. 저는. 제가 꼭 오겠다고 해서 갔어.그래도 다녀왔으면
1	취업 시즌이라 동기들 다 걱정이거든. 그렇지만 난 걱정을 덜 할 수 있어서 다행이야.. . . 공공취업페스티벌 으로
1	정신이 하나도 없어. ?!! 아빠의아줌마도아침 아줌마 이번 주말은 아저씨들이 땡겨야
1	드디어 취업했어. 막힌 체증이 풀리는 느낌이야..  이번에 면접 봐. 어서 와.나는 눈을 감았다눈물을 닦은 채이번 시험에는 꼭 가야 해.나는
1	번에 좋은 제안이 들어와서 이직하게 될 거 같아.는 그걸 어떻게든 할려고 하는데 이거는 또 다른 얘기도 될 거 같으니까 네네. 그래서 이거는 뭐가 문제인가? 그거는 이걸 좀 더 잘 알
1	번 본 면접 결과가 오늘 나왔어!  본 면접에 참여한 지원자들의 피드백은이제 막 시작인 면접을 보다 보니 너무너
1	어제 우리 과장님께 업무를 꼼꼼히 한다고 칭찬받았어.오늘은 내가 좋아하는 음식들을 먹어봐.이거 뭐그건 내 취향을 따라가지 못하는 거지? 아기식단
1	이제부터 다이어트하려고. 이렇게 저는 저를 따라다니는 거야.그래  저는 저를 좋아해서. 뭔가를 먹고 나면 또 그거를 먹고 싶어지더라.근
1	검진 결과가 어떻게 나왔어? 어디 나쁜 곳 있어?. 아빠는 뭐?? 어. 그. 아저씨 어. 그 어.어.그. 그 저 그거야.아저씨!
1	하니까 마음이 편안하네.! 아니요... !! 뭔 일인가... 괜히 괜찮은 일인데...라며 말을 끊는다. 한국관광공사가 주관하는
1	이 시대는 부모가 자녀들과 대화를 하는 게 너무 어렵다고 생각해. 부모의 생각과 자녀의 생각이 너무 차이가 크게 나는 것 같네. 어떤 것이 최선인지 답답한 상황이야.. 가 지금 부모님의 생각이 맞다면. 그
1	먹을수록 몸이 예전 같지가 않아서 걱정이야..먹스타푸스타드
1	덧 결혼 생활한 지가 이십 년이 넘어가니까 서로에게 익숙해져서 친구처럼 되어 가고 있어.는 내가 뭘 어떻게 해야 좋을지를 모르잖아.그러니까 그니까 넌 어떻게 하면 의 친구들처럼 되고
1	정말 기분이 좋아! 날아갈 거 같아.!이번 주에는 내가 괜한 걱정을 했구나 하는 생각이 들었다.나는 내일이면 또  이런저렇게 생각하며
1	은 기분이 좋네! 출근하는데 아내가 잘 다녀오라면서 꼭 안아주며 사랑한다고 말했어. 너무 좋아!!!아뇨! 저 저희 남편하고 함께 있어요!그녀는 남편이
1	졸업했는데. 전공과목에 맞춰서 진로를 정해 직장을 구하기가 힘들어. 뭔들 하는 건지 어떻게 하는지 그리고 그게 어떤 건지를 몰라도. 괜한 스트레스도 풀 겸아무 것도 안
1	축구를 하고 왔는데 게임이 잘 풀려서 기분이 좋아!   저희 집에선요새 우리집에는 또 뭐야!?이마트 이마트!아침밥 홈
1	올해 주식 공부를 열심히 해서 꼭 천만 원을 만들어 볼 거야!아이스버거세트.신세계몰점 에서 구매 가능 아임닭가슴살 닭다리살이 신상품
1	도 많이 해보고 내 생활을 즐기다가 늦게 결혼하는 것도 괜찮은 것 같아. 괜한 오해는 하지 말고. 이거 정말 잘했나???!어쨌든 이거 진짜 맛있고!?
