,emotion,sentence,label,tokenized_sentence,cleaned_tokens
7,E66,퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.,1,"['퇴', '##사한', '지', '얼마', '안', '됐', '##지만', '천천히', '직장', '##을', '구해', '##보려고', '.']","['퇴', '지', '얼마', '안', '됐', '천천히', '직장', '구해']"
9,E66,요즘 직장생활이 너무 편하고 좋은 것 같아!,1,"['요즘', '직장', '##생활', '##이', '너무', '편하고', '좋은', '것', '같아', '!']","['요즘', '직장', '너무', '편하고', '좋은', '것', '같아']"
10,E66,취업해야 할 나이인데 취업하고 싶지가 않아.,1,"['취업', '##해야', '할', '나이', '##인데', '취업', '##하고', '싶지', '##가', '않아', '.']","['취업', '할', '나이', '취업', '싶지', '않아']"
22,E64,우리 회사는 정말 사내 분위기가 좋아.,1,"['우리', '회사는', '정말', '사내', '분위기가', '좋아', '.']","['우리', '회사는', '정말', '사내', '분위기가', '좋아']"
23,E64,오늘 내가 다니는 회사가 참 좋은 직장이라는 생각이 들었어.,1,"['오늘', '내가', '다니는', '회사가', '참', '좋은', '직장', '##이라는', '생각이', '들었', '##어', '.']","['오늘', '내가', '다니는', '회사가', '참', '좋은', '직장', '생각이', '들었']"
24,E64,회사에서 전공시험을 봤어. 오늘 시험 결과가 나왔어.,1,"['회사에서', '전공', '##시험', '##을', '봤', '##어', '.', '오늘', '시험', '결과가', '나왔', '##어', '.']","['회사에서', '전공', '봤', '오늘', '시험', '결과가', '나왔']"
60,E62,오늘 입사 면접을 봤어.,1,"['오늘', '입사', '면접', '##을', '봤', '##어', '.']","['오늘', '입사', '면접', '봤']"
61,E62,회사에서 나를 참 신뢰하는 것 같아. 그건 기분이 좋아.,1,"['회사에서', '나를', '참', '신뢰', '##하는', '것', '같아', '.', '그건', '기분이', '좋아', '.']","['회사에서', '나를', '참', '신뢰', '것', '같아', '그건', '기분이', '좋아']"
62,E62,먼저 취업한 선배가 면접 비결을 알려줬어. 곧 면접 보러 가는데 든든해.,1,"['먼저', '취업', '##한', '선배', '##가', '면접', '비결', '##을', '알려', '##줬', '##어', '.', '곧', '면접', '보러', '가는데', '든든', '##해', '.']","['먼저', '취업', '선배', '면접', '비결', '알려', '곧', '면접', '보러', '가는데', '든든']"
63,E68,직장 상사로부터 칭찬을 받았는데 너무 신이 나!,1,"['직장', '상', '##사로', '##부터', '칭찬을', '받았는데', '너무', '신이', '나', '!']","['직장', '상', '칭찬을', '받았는데', '너무', '신이', '나']"
